Server Name	database_name	backup_start_date	backup_finish_date	server_name	user_name	type	physical_device_name
OAZISDB	OAZMOLP	2025-02-28 09:45:02.000	2025-02-28 09:45:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228084502.trn
OAZISDB	OAZP	2025-02-28 09:45:02.000	2025-02-28 09:45:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228084502.trn
OAZISDB	OAZMOLP	2025-02-28 10:00:01.000	2025-02-28 10:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228090001.trn
OAZISDB	OAZP	2025-02-28 10:00:01.000	2025-02-28 10:00:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228090001.trn
OAZISDB	OAZMOLP	2025-02-28 10:15:01.000	2025-02-28 10:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228091501.trn
OAZISDB	OAZP	2025-02-28 10:15:01.000	2025-02-28 10:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228091501.trn
OAZISDB	OAZMOLP	2025-02-28 10:30:01.000	2025-02-28 10:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228093001.trn
OAZISDB	OAZP	2025-02-28 10:30:01.000	2025-02-28 10:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228093001.trn
OAZISDB	OAZMOLP	2025-02-28 10:45:00.000	2025-02-28 10:45:00.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228094500.trn
OAZISDB	OAZP	2025-02-28 10:45:00.000	2025-02-28 10:45:00.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228094500.trn
OAZISDB	OAZMOLP	2025-02-28 11:00:01.000	2025-02-28 11:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228100001.trn
OAZISDB	OAZP	2025-02-28 11:00:01.000	2025-02-28 11:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228100001.trn
OAZISDB	OAZMOLP	2025-02-28 11:15:01.000	2025-02-28 11:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228101501.trn
OAZISDB	OAZP	2025-02-28 11:15:01.000	2025-02-28 11:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228101501.trn
OAZISDB	OAZMOLP	2025-02-28 11:30:01.000	2025-02-28 11:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228103001.trn
OAZISDB	OAZP	2025-02-28 11:30:01.000	2025-02-28 11:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228103001.trn
OAZISDB	OAZMOLP	2025-02-28 11:45:01.000	2025-02-28 11:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228104501.trn
OAZISDB	OAZP	2025-02-28 11:45:01.000	2025-02-28 11:45:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228104501.trn
OAZISDB	OAZMOLP	2025-02-28 12:00:01.000	2025-02-28 12:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228110001.trn
OAZISDB	OAZP	2025-02-28 12:00:01.000	2025-02-28 12:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228110001.trn
